epoch,MeanSquaredError,lambda,loss,val_MeanSquaredError,val_lambda,val_loss
83,2.2650625396636315e-05,8.758185686019715e-06,8.758185686019715e-06,2.8524627850856632e-05,1.079675985238282e-05,1.079675985238282e-05
84,2.26446663873503e-05,8.7558692030143e-06,8.7558692030143e-06,2.846830102498643e-05,1.0780382581287995e-05,1.0780382581287995e-05
85,2.263803980895318e-05,8.75339719641488e-06,8.75339719641488e-06,2.850649798347149e-05,1.0790242413349915e-05,1.0790242413349915e-05
86,2.2630423700320534e-05,8.750397682888433e-06,8.750397682888433e-06,2.848672738764435e-05,1.0783654033730272e-05,1.0783654033730272e-05
87,2.2625621568295173e-05,8.748449545237236e-06,8.748449545237236e-06,2.842395770130679e-05,1.076347689377144e-05,1.076347689377144e-05
88,2.2614494810113683e-05,8.744543265493121e-06,8.744543265493121e-06,2.840718298102729e-05,1.0757386917248368e-05,1.0757386917248368e-05
89,2.2604723199037835e-05,8.740876182855573e-06,8.740876182855573e-06,2.8449650926631875e-05,1.0771866072900593e-05,1.0771866072900593e-05
90,2.2603973775403574e-05,8.74021316121798e-06,8.74021316121798e-06,2.8407192075974308e-05,1.0757167729025241e-05,1.0757167729025241e-05
91,2.2592766981688328e-05,8.736300515010953e-06,8.736300515010953e-06,2.8433327315724455e-05,1.0764618309622165e-05,1.0764618309622165e-05
92,2.2587131752516143e-05,8.734012226341292e-06,8.734012226341292e-06,2.8417662178981118e-05,1.0760037184809335e-05,1.0760037184809335e-05
93,2.2578433345188387e-05,8.730931767786387e-06,8.730931767786387e-06,2.837687497958541e-05,1.0746732186817098e-05,1.0746732186817098e-05
94,2.2572323359781876e-05,8.728366992727388e-06,8.728366992727388e-06,2.8405935154296458e-05,1.0755998118838761e-05,1.0755998118838761e-05
95,2.2563472157344222e-05,8.725371117179748e-06,8.725371117179748e-06,2.83722019958077e-05,1.0744987775979098e-05,1.0744987775979098e-05
96,2.255750587210059e-05,8.7228327174671e-06,8.7228327174671e-06,2.8368909624987282e-05,1.0741507139755413e-05,1.0741507139755413e-05
97,2.2549997083842754e-05,8.720158803043887e-06,8.720158803043887e-06,2.8352178560453467e-05,1.07365249277791e-05,1.07365249277791e-05
98,2.2542908482137136e-05,8.71744123287499e-06,8.71744123287499e-06,2.8382481104927137e-05,1.0744663995865267e-05,1.0744663995865267e-05
99,2.253459933854174e-05,8.714293471712153e-06,8.714293471712153e-06,2.8335252864053473e-05,1.0729349014582112e-05,1.0729349014582112e-05
